arise	arose	arisen	powstawaæ, pojawiaæ siê
stride	strode	stridden	przekraczaæ, kroczyæ
strike	struck	struck	uderzaæ
string	strung	strung	naci±gaæ
strive	strove	striven	usi³owaæ, d±¿yæ do czego¶
swear	swore	sworn	kl±æ, przeklinaæ
sweep	swept	swept	zamiataæ
swell	swelled	swollen	napuchn±æ, nabrzmiewaæ
swim	swam	swum	p³ywaæ
swing	swung	swung	ko³ysaæ siê, machaæ czym¶
take	took	taken	braæ
teach	taught	taught	nauczaæ
tear	tore	torn	rwaæ, drzeæ
tell	told	told	opowiadaæ
think	thought	thought	my¶leæ
thrive	throve	thriven	dobrze siê rozwijaæ
throw	threw	thrown	rzucaæ
thrust	thrust	thrust	d¼gaæ, wbiæ
tread	trod	trodden	deptaæ, st±paæ
wake	woke	woken	budziæ siê
wear	wore	worn	nosiæ, mieæ na sobie
weave	wove	woven	tkaæ, wplataæ
wet	wet	wet	zwil¿aæ
win	won	won	wygraæ
wind	wound	wound	nawijaæ, obwijaæ, zwijaæ
wring	wrung	wrung	wykrêcaæ, wyciskaæ
write	wrote	written	pisaæ

